Site,Parameter,SampleDate,Value
Big Glen Lake,Secchi Depth,2014-07-10,17.5
Big Glen Lake,Secchi Depth,2014-08-11,20
Big Glen Lake,Secchi Depth,2015-05-14,22.5
Big Glen Lake,Secchi Depth,2015-07-14,19.6
Big Glen Lake,Secchi Depth,2015-08-14,24
Big Glen Lake,Secchi Depth,2015-09-19,13.5
Big Glen Lake,Secchi Depth,2015-10-21,17
Big Glen Lake,Secchi Depth,2016-04-20,22
Big Glen Lake,Secchi Depth,2016-06-14,20.5
Big Glen Lake,Secchi Depth,2016-07-13,18
Big Glen Lake,Secchi Depth,2016-08-25,23
Big Glen Lake,Secchi Depth,2016-09-28,21
Big Glen Lake,Secchi Depth,2016-11-01,21
Big Glen Lake,Secchi Depth,2017-05-03,32.5
Big Glen Lake,Secchi Depth,2017-06-15,15.5
Big Glen Lake,Secchi Depth,2017-07-12,13.2
Big Glen Lake,Secchi Depth,2017-08-08,17.5
Big Glen Lake,Secchi Depth,2017-09-12,28
Big Glen Lake,Secchi Depth,2017-11-06,26
Big Glen Lake,Secchi Depth,2018-05-14,20
Big Glen Lake,Secchi Depth,2018-06-19,23.5
Big Glen Lake,Secchi Depth,2018-07-18,21.5
Big Glen Lake,Secchi Depth,2018-08-18,19.5
Big Glen Lake,Secchi Depth,2018-09-23,15.5
Big Glen Lake,Secchi Depth,2018-10-29,25
Big Glen Lake,Secchi Depth,2019-05-21,30
Big Glen Lake,Secchi Depth,2019-06-17,31.5
Big Glen Lake,Secchi Depth,2019-07-17,24.5
Big Glen Lake,Secchi Depth,2019-08-21,13
Big Glen Lake,Secchi Depth,2019-09-17,26
Big Glen Lake,Secchi Depth,2019-10-18,21
Big Glen Lake,Secchi Depth,2020-05-13,27.5
Big Glen Lake,Secchi Depth,2020-09-21,18.5
Big Glen Lake,Secchi Depth,2020-11-05,19.5
Big Glen Lake,Secchi Depth,2021-05-12,28
Big Glen Lake,Secchi Depth,2021-06-29,29
Big Glen Lake,Secchi Depth,2021-07-29,19.5
Big Glen Lake,Secchi Depth,2021-08-24,19
Big Glen Lake,Secchi Depth,2021-10-26,16
Big Glen Lake,Secchi Depth,2022-05-23,31.5
Big Glen Lake,Secchi Depth,2022-06-23,25
Big Glen Lake,Secchi Depth,2022-08-04,14.5
Big Glen Lake,Secchi Depth,2022-09-29,15
Big Glen Lake,Secchi Depth,2022-10-31,24
Big Glen Lake,Secchi Depth,2023-05-10,28.5
Big Glen Lake,Secchi Depth,2023-06-07,20
Big Glen Lake,Secchi Depth,2023-07-14,20
Big Glen Lake,Secchi Depth,2023-08-08,18
Big Glen Lake,Secchi Depth,2023-09-13,19.5
Big Glen Lake,Secchi Depth,2024-05-02,14
Big Glen Lake,Secchi Depth,2024-06-11,30
Big Glen Lake,Secchi Depth,2024-08-01,26
Big Glen Lake,Secchi Depth,2024-09-10,21
Big Glen Lake,Secchi Depth,2024-10-03,19
Big Glen Lake,Secchi Depth,2025-05-09,25
Big Glen Lake,Secchi Depth,2025-06-05,12
Big Glen Lake,Secchi Depth,2025-07-02,21.5
Big Glen Lake,Secchi Depth,2025-08-07,18
Big Glen Lake,Secchi Depth,2025-09-10,26
Big Glen Lake,Secchi Depth,2025-10-02,11.5
Big Glen Lake,Total Phosphorus,1990-07-24,7.0
Big Glen Lake,Total Phosphorus,1990-08-07,3.0
Big Glen Lake,Total Phosphorus,1990-08-29,7.0
Big Glen Lake,Total Phosphorus,1990-09-24,6.0
Big Glen Lake,Total Phosphorus,1990-10-22,9.0
Big Glen Lake,Total Phosphorus,1990-11-14,4.0
Big Glen Lake,Total Phosphorus,1990-12-19,6.0
Big Glen Lake,Total Phosphorus,1991-01-30,6.0
